n_qubits,depth,circuit_variant,mean_within_pearson,ci_low_within_pearson,ci_high_within_pearson,mean_within_spearman,between_pearson,ci_low_between_pearson,ci_high_between_pearson,between_spearman,F_minus_1,norm_within,ci_low_norm_within,ci_high_norm_within,norm_between,ci_low_norm_between,ci_high_norm_between,decomp_residual,pooled_pearson_ref,pooled_spearman_ref,n_params,n_seeds
4,4,hea,-0.027408531403831215,-0.09945651520022598,0.04468778544938038,-0.03670576735092864,0.13947637942484362,-0.21910703055133707,0.4841235325287601,0.19199110122358176,-0.002242283324344166,-0.007894195327456131,-0.07872022214543481,0.06154581108025882,0.0056519120031118955,-0.008010004977233587,0.018252082809917646,1.474514954580286e-17,-0.0026677021555104367,-0.04485638547784882,32,30
6,4,hea,-0.04406714867112645,-0.095675532221548,0.010251761069042622,-0.05681357649442755,0.10122771845410185,-0.22280751003844423,0.3751535650666704,0.10700778642936595,-0.01700850489844727,-0.021542554773380733,-0.08090610086392461,0.032395766375619695,0.0045340498749335024,-0.008661840193312472,0.0175560953028293,-3.2526065174565133e-18,-0.018534557517501694,-0.04862864034946004,48,30
8,4,hea,0.007994804774420371,-0.024004390509990176,0.03777634387462457,0.005303724053724054,-0.042785642834782145,-0.2536630683749946,0.24026419192351978,0.0033370411568409346,0.009357203908300795,0.01114753893540312,-0.019774435667233196,0.04032722355730691,-0.0017903350271027102,-0.01028626480823881,0.00738711753782173,1.5829351718288365e-17,0.007585978285976806,0.010886489430471307,64,30
10,4,hea,-0.007008182867095497,-0.04478509997723267,0.0352894271839458,0.011903422409751528,0.10500301867801727,-0.3168288748472885,0.46545073031218115,-0.0002224694104560623,-0.018764500231873427,-0.024183286907151602,-0.0776079216639354,0.0314849164020089,0.00541878667527805,-0.013006084846667097,0.028232857989064785,4.0115480381963664e-18,-0.011909341405861983,0.019864184872254317,80,30
4,4,hva,0.028310477344836788,-0.0890186699319734,0.13870903323010841,0.061538461538461535,0.18293162738189855,-0.1920995567173294,0.5028218086320653,0.09632925472747497,0.06932864759633242,0.04806696445781135,-0.05604189162582419,0.14609681939661345,0.02126168313852083,-0.020739992304040365,0.061846784105475075,2.1094237467877974e-15,0.07206344560782124,0.006644598595153769,12,30
6,4,hva,0.021455997090000418,-0.08551357016405041,0.13306015361908485,0.05221445221445222,0.38745741241687437,0.07245472234445038,0.6416291954731091,0.29032258064516125,0.10858174052285693,0.046246790024233715,-0.06702345728447755,0.17046588345322738,0.0623349504986227,0.009857730241741382,0.11618989790318526,1.021405182655144e-14,0.1055358173775806,0.08462436695756397,12,30
8,4,hva,0.04549882748522783,-0.06230042108338247,0.15058509822408192,0.07109557109557112,0.4123138263921894,0.11644939814226857,0.6544204402665613,0.3548387096774193,0.10465417250682844,0.031877339482844436,-0.0731411830253887,0.164527201036489,0.07277683302398422,0.016582849516645737,0.12881410096484353,-8.881784197001252e-15,0.10602174282721447,0.11585480340640487,12,30
10,4,hva,0.059609555838318076,-0.05592098037499374,0.16643902823295215,0.09044289044289047,0.4131513504948581,0.12889403541275013,0.6602061067607919,0.37886540600667407,0.0978521044424525,0.02219581500167277,-0.09576307202998609,0.1416155594388768,0.07565628944077969,0.02019440123865044,0.13827139523802948,1.7763568394002505e-15,0.10192913124405004,0.13002543743907488,12,30
4,6,hea,-0.0032590591259741004,-0.05131314828481457,0.044798823699975926,-0.024591113040961073,-0.04864258220055856,-0.46133229855293484,0.3102528018635659,-0.06918798665183537,0.006143147853686421,0.007293173356387619,-0.03383199787523055,0.04693764727086845,-0.0011500255027010577,-0.009387982115138955,0.007592232065100987,-3.144186300207963e-17,0.008614750336712062,-0.016010002416089127,48,30
6,6,hea,0.011642361462570725,-0.030790324588866415,0.04828065870441339,0.004363624670396813,-0.09701104899538075,-0.3985839428175929,0.24915201418513663,-0.028698553948832032,0.006935739857100765,0.00852911182952304,-0.02834381586610256,0.038574550896659204,-0.001593371972421974,-0.006969237411235366,0.003094559282130987,-2.42861286636753e-17,0.009400304581298093,0.009506561870309805,72,30
8,6,hea,0.0023129326940748984,-0.030238676058058106,0.038036983062489656,-0.01677066377283415,-0.04393006539485758,-0.34906834420583155,0.39314038815659613,0.045606229143492764,0.0015909106595351891,0.002395714590724877,-0.022825465980466836,0.030998100077828404,-0.000804803931189036,-0.007740585856507278,0.005147808441435642,-1.9312351197398048e-17,0.001979589714270815,-0.014273769765195364,96,30
10,6,hea,-0.02598151638132686,-0.06066776616434732,0.006395201744969368,-0.0414244044725328,0.2582410477866322,-0.18521572879813347,0.6460308657022712,0.2449388209121246,-0.01713555278629876,-0.02368552317370148,-0.054963349407583066,0.00742373149199038,0.006549970387402493,-0.0037375116439529797,0.020284779611485563,2.710505431213761e-18,-0.01641593838500363,-0.03340863375066618,120,30
4,6,hva,0.0012608693060305125,-0.09453691100151738,0.10410255488972481,-0.041210870313037495,-0.08656996340958735,-0.4642185014987207,0.269082793176716,-0.1604004449388209,0.014562857804362237,0.021597699424849317,-0.06769747611202852,0.11102422120669614,-0.007034841620487332,-0.03497639963071751,0.02079325827488646,1.6653345369377348e-15,0.01735497740465177,-0.013312650439663908,18,30
6,6,hva,0.058073992533867656,-0.049492844750881004,0.16599831705070223,0.045889232886136916,0.08961564243273049,-0.2578785092311654,0.4262670205675084,-0.030923248053392655,0.08534135445881609,0.07394370250184544,-0.009209226584601729,0.15191926411896045,0.011397651956970197,-0.025478718822422912,0.05659994831590187,6.217248937900877e-15,0.09628556722249784,0.08089030940892573,18,30
8,6,hva,0.12477498358685704,0.034778488611509256,0.2291024410595836,0.12356381148950805,0.18591872491663686,-0.14010648487342872,0.5229227339794196,0.12258064516129033,0.13256836550090034,0.1051943850892107,0.03300614844720276,0.18325802476420258,0.027373980411689054,-0.018607669945026193,0.08026182899504261,1.6431300764452317e-14,0.1480288043446819,0.1769926051415357,18,30
10,6,hva,0.1568543693000853,0.05420154486236132,0.2578300321427742,0.16848985208118336,0.19605863428645304,-0.12307810712390255,0.531329105451201,0.17241379310344826,0.14424847501885835,0.11436560001053821,0.028586900100341935,0.1971015972386328,0.029882875008319546,-0.017559493673677554,0.07933945246790346,2.842170943040401e-14,0.16224609221924696,0.21953596091436073,18,30
4,8,hea,0.028507050864870587,-0.01527622545547596,0.07662882372939753,0.022826617826617827,-0.17184391261095167,-0.4820225054259027,0.09915486978055382,-0.18487208008898778,0.018866773397557962,0.022561112108242114,-0.003248547081061422,0.04882882161270183,-0.0036943387106840404,-0.009054441339312677,0.00157498337513348,-2.6020852139652106e-17,0.027423556656059923,0.02362515221493929,64,30
6,8,hea,-0.00717362376725922,-0.043149053908687514,0.031146933239756508,-0.013667932718393923,0.030298654588134147,-0.34064090225933236,0.39543320554505945,0.04382647385984427,-0.003967677546483923,-0.004348674487294735,-0.02489051167306749,0.019019437548001422,0.0003809969408103973,-0.0037782381108746313,0.004671308357251546,3.3285006695304986e-17,-0.006168040364395072,-0.011360404171537926,96,30
8,8,hea,0.005212241512245497,-0.02978623618913039,0.03893431749840513,-0.003706013855826163,0.2965926264843139,0.022774104720150432,0.5411412647797753,0.20578420467185762,0.005906299119116915,0.004378586157553628,-0.016724279352981392,0.02376871710950794,0.0015277129615635903,8.88867965566237e-05,0.0032414871204657987,-8.077306185017008e-18,0.009510750975123487,-0.007244199396375829,128,30
10,8,hea,0.004902442642488497,-0.023886491465226332,0.036436157184163556,0.00024043907965154708,-0.2815776672004343,-0.6205652536276329,0.13625538512093557,-0.18131256952169075,0.003315862545940584,0.004488348418378594,-0.01501967078156826,0.026246032503640174,-0.0011724858724380261,-0.0028181883126928713,0.0005069611647796197,1.4230153513872246e-19,0.004976930459272663,-0.0019290448970939623,160,30
4,8,hva,-0.059944250555419146,-0.15315290366536638,0.04384702127721438,-0.09707246376811594,-0.10313532237711903,-0.43551945427719985,0.26145054567254766,-0.25339265850945497,-0.03493806267633085,-0.022962239185685924,-0.10407097676539423,0.05631657569785589,-0.01197582349064468,-0.04580520694247309,0.023507917540153495,-1.8318679906315083e-15,-0.03985666685272107,-0.09986281480738451,24,30
6,8,hva,0.07703736155409069,-0.02469713129385213,0.17679570463972374,0.08504347826086958,0.05989360479756491,-0.13027236721422628,0.2659480611483261,-0.0020022246941045607,0.09625824346789612,0.08528816455272234,0.013083397128961635,0.15763498805470008,0.01097007891517309,-0.018807653768849224,0.04064578693648987,9.325873406851315e-15,0.10651645027371594,0.09831558317049222,24,30
8,8,hva,0.12226334364156694,0.0351745283721453,0.20984676397113672,0.1413333333333333,0.1963909367712975,0.001877179490658546,0.39023301394546844,0.23114571746384868,0.14310061708349972,0.1044601272024437,0.046990087395397076,0.16312246107519543,0.038640489881056145,0.0002133524359457129,0.07855614935323585,-3.1086244689504383e-15,0.15740160489381533,0.16506969856551934,24,30
10,8,hva,0.14375615742970596,0.0441975354120953,0.24350537458708488,0.17608695652173909,0.259812674782861,0.05577563012410849,0.4897376256493762,0.3032258064516129,0.16802221872276032,0.11548713767817088,0.061014705185472834,0.1744851047556792,0.05253508104458966,0.007787147550201209,0.10409123447766212,-8.881784197001252e-15,0.18414098827160036,0.20609633377636402,24,30
