n_qubits,depth,expected_zero_frac_2_over_3d,theo_p50,theo_p99,theo_max,other_p01,other_p05,other_min,theo_frac_below_1e-12,other_frac_below_1e-12,theo_frac_below_1e-10,other_frac_below_1e-10,theo_frac_below_1e-09,other_frac_below_1e-09,theo_frac_below_1e-08,other_frac_below_1e-08
4,4,0.16666666666666666,3.816391647148976e-12,2.2204460492503128e-11,3.3306690738754696e-11,0.0023699580688485433,0.02466987269730826,5.5857568570516485e-05,0.1523809523809524,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,6,0.1111111111111111,4.163336342344337e-12,2.775557561562891e-11,4.996003610813204e-11,0.005982385291907614,0.027916544019963848,7.484344255459519e-05,0.14047619047619048,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,8,0.08333333333333333,4.163336342344337e-12,2.2204460492503128e-11,3.3306690738754696e-11,0.005139952688526516,0.023597481027728268,0.00035383648060161027,0.15476190476190477,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,4,0.16666666666666666,3.816391647148976e-12,2.775557561562891e-11,3.885780586188048e-11,0.0019292008075211255,0.02274632647869881,4.552005994362673e-06,0.17575757575757575,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,6,0.1111111111111111,3.816391647148976e-12,3.3306690738754696e-11,4.4408920985006255e-11,0.00432254861190695,0.023667812471331314,8.121801564620057e-05,0.15606060606060607,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,8,0.08333333333333333,2.9490299091605717e-12,2.0566881531180934e-11,3.3306690738754696e-11,0.005538065841175637,0.0246051362429861,5.251099555181326e-05,0.16818181818181818,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,4,0.16666666666666666,4.85722573273506e-12,3.885780586188048e-11,4.996003610813204e-11,0.002123054254454804,0.02292077254493694,4.552003565749807e-06,0.17777777777777778,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,6,0.1111111111111111,3.4694469519536138e-12,3.8913317013111685e-11,6.661338147750939e-11,0.00402965703837424,0.024860518990504895,0.00021025114427253297,0.16444444444444445,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,8,0.08333333333333333,2.775557561562891e-12,2.775557561562891e-11,3.885780586188048e-11,0.004645286695831308,0.024048580413715822,9.404917782063203e-05,0.18333333333333332,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10,4,0.16666666666666666,5.551115123125782e-12,4.996003610813204e-11,6.661338147750939e-11,0.002162916645703783,0.023015194193804624,4.5520007901922455e-06,0.15350877192982457,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10,6,0.1111111111111111,4.163336342344337e-12,4.996003610813204e-11,9.992007221626408e-11,0.003918579312089943,0.024860518973573994,3.5057051012143954e-06,0.1649122807017544,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10,8,0.08333333333333333,4.163336342344337e-12,3.499978085130778e-11,5.551115123125782e-11,0.004611319658683055,0.023772401152519215,8.619864128034392e-05,0.17894736842105263,0.0,1.0,0.0,1.0,0.0,1.0,0.0
