n_qubits,depth,circuit_variant,MGR_bc,ci_low_MGR_bc,ci_high_MGR_bc,one_over_S
4,4,hea,0.023059156251317145,-0.007944519263960313,0.0621209047136571,0.03333333333333333
6,4,hea,-0.005957544448218484,-0.028836774158753076,0.02700037957930688,0.03333333333333333
8,4,hea,-0.00158831041363683,-0.02369265897279353,0.029177886645757115,0.03333333333333333
10,4,hea,0.0028782653920435197,-0.01772679160191175,0.03359814906644657,0.03333333333333333
4,4,hva,-0.010825642283838626,-0.04754884817409944,0.04511242113722792,0.03333333333333333
6,4,hva,-0.01015085301178894,-0.04833390450782988,0.04858579725068222,0.03333333333333333
8,4,hva,-0.01054084560201596,-0.049245363503891415,0.0492407340517715,0.03333333333333333
10,4,hva,-0.010868610369963174,-0.04982701793297612,0.04727104846121057,0.03333333333333333
4,6,hea,-0.004071728771818593,-0.028850533619112075,0.029605583994899848,0.03333333333333333
6,6,hea,0.0075530959518053335,-0.016298738652338825,0.03969557965018918,0.03333333333333333
8,6,hea,-0.001140368050063152,-0.023671032144705485,0.029119697609621843,0.03333333333333333
10,6,hea,0.0019217782687853946,-0.01879328410449437,0.03043845904168886,0.03333333333333333
4,6,hva,0.0027387956698629256,-0.03640891187788039,0.0604868363158559,0.03333333333333333
6,6,hva,0.0011955869449255582,-0.03714784247546782,0.05863807596398715,0.03333333333333333
8,6,hva,-0.0006966549369476492,-0.036031467395532014,0.05198738397462306,0.03333333333333333
10,6,hva,-0.002328145053421892,-0.03582333623554339,0.049496495933525515,0.03333333333333333
4,8,hea,0.007759006271464038,-0.014772325826814961,0.03718492219456993,0.03333333333333333
6,8,hea,-0.0038813974883953528,-0.021878494096692055,0.020967044295607643,0.03333333333333333
8,8,hea,-0.002579527495905711,-0.022240266895220122,0.02431291247244687,0.03333333333333333
10,8,hea,-0.0005116378082698069,-0.01864975664414322,0.024272826098825466,0.03333333333333333
4,8,hva,0.015683016056667356,-0.024698534225521436,0.06726894693911052,0.03333333333333333
6,8,hva,0.009030217004090471,-0.030179679468620636,0.061746499050036596,0.03333333333333333
8,8,hva,0.005934797616780485,-0.03149748168131101,0.059225249016879415,0.03333333333333333
10,8,hva,0.004949727733716706,-0.03282135573490901,0.054477967309149396,0.03333333333333333
