n_qubits,depth,circuit_variant,zero_fraction_ZZ_terms,zero_fraction_X_terms,zero_fraction_Z_terms
4,4,hea,0.2291666666666667,0.125,0.1640625
6,4,hea,0.2916666666666667,0.2291666666666667,0.18402777777777776
8,4,hea,0.3348214285714286,0.2890625,0.197265625
10,4,hea,0.3638888888888889,0.32750000000000007,0.20624999999999993
4,4,hva,0.1666666666666667,0.0,0.1666666666666667
6,4,hva,0.1666666666666667,0.0,0.1666666666666667
8,4,hva,0.1666666666666667,0.0,0.1666666666666667
10,4,hva,0.1666666666666667,0.0,0.1666666666666667
4,6,hea,0.15277777777777776,0.08333333333333336,0.109375
6,6,hea,0.1944444444444445,0.15277777777777776,0.12268518518518517
8,6,hea,0.2232142857142857,0.1927083333333333,0.13151041666666663
10,6,hea,0.24259259259259264,0.2183333333333334,0.13750000000000004
4,6,hva,0.11111111111111112,0.0,0.11111111111111112
6,6,hva,0.11111111111111112,0.0,0.11111111111111112
8,6,hva,0.11111111111111112,0.0,0.11111111111111112
10,6,hva,0.11111111111111112,0.0,0.11111111111111112
4,8,hea,0.11458333333333336,0.0625,0.08203125
6,8,hea,0.14583333333333334,0.11458333333333336,0.09201388888888888
8,8,hea,0.1674107142857143,0.14453125,0.0986328125
10,8,hea,0.18194444444444444,0.16375000000000003,0.10312499999999997
4,8,hva,0.08333333333333336,0.0,0.08333333333333336
6,8,hva,0.08333333333333336,0.0,0.08333333333333336
8,8,hva,0.08333333333333336,0.0,0.08333333333333336
10,8,hva,0.08333333333333336,0.0,0.08333333333333336
