n_qubits,depth,circuit_variant,mean_within_pearson,ci_low_within_pearson,ci_high_within_pearson,mean_within_spearman,between_pearson,ci_low_between_pearson,ci_high_between_pearson,between_spearman,F_minus_1,norm_within,ci_low_norm_within,ci_high_norm_within,norm_between,ci_low_norm_between,ci_high_norm_between,decomp_residual,pooled_pearson_ref,pooled_spearman_ref,n_params,n_seeds
4,4,hea,-0.05580473765265732,-0.13073465596464184,0.02431785164390137,-0.07030791788856304,0.0860413658635797,-0.2668732151742095,0.4336585580074153,0.0896551724137931,-0.021665529549090103,-0.02545982686119627,-0.0985177012076578,0.04751045274370685,0.003794297312106166,-0.010737732564844825,0.017323119390890353,0.0,-0.025804814677291718,-0.07525040717275083,32,30
6,4,hea,-0.03749560953306833,-0.0979890059222451,0.024984093019726667,-0.04811839629468808,0.096476118793138,-0.2635290750623057,0.3823864716075808,0.026028921023359287,-0.015579752624990294,-0.020205190698574082,-0.08415431893221337,0.037760704948697627,0.004625438073583401,-0.010851034628104918,0.01895440273390115,2.970713952610282e-17,-0.016781930441799302,-0.050515673473993765,48,30
8,4,hea,0.011109700009945362,-0.024571027728957476,0.041054667927357076,0.0156990231990232,0.04090369374109138,-0.12428463245401931,0.2888132784355198,0.06874304783092325,0.008582853430024559,0.006456584411424369,-0.029708507661356492,0.04122385543897146,0.0021262690185997967,-0.005756670897172554,0.010747828884275171,1.5124620306172787e-17,0.00681009069801434,0.016022828104065783,64,30
10,4,hea,-0.007617820168055476,-0.04363292364740864,0.03381759951224002,-0.0024300671979996893,-0.2089190230613337,-0.556266195400133,0.12082166899613712,-0.29032258064516125,-0.03445406747148426,-0.02454095578478693,-0.07459896133797718,0.02962541264364613,-0.009913111686697233,-0.024384828697363317,0.0057288095952316926,-3.0357660829594124e-18,-0.022182631758424106,-0.0032158243430250593,80,30
4,4,hva,-0.06570138111820853,-0.22737776432669454,0.09893650916729027,-0.13095238095238096,0.4248251046917315,-0.0028039123987763353,0.7094441672883269,0.35172413793103446,-0.03384238555000841,-0.07873189478734345,-0.18912343980624355,0.03010713997763468,0.044889509237334986,-0.00027028334850622633,0.08962597714638725,4.440892098500626e-16,-0.04452506766690337,-0.04130453653709265,8,30
6,4,hva,0.049768146244869686,-0.09278826425678895,0.19429280272625,0.02698412698412699,0.2060496515238992,-0.3838375011905223,0.6192353926328381,0.027808676307007785,0.013972111895472906,-0.009698691683808484,-0.08958865436345255,0.07191618424679427,0.023670803579280957,-0.033694365861557184,0.08235366675104223,8.43769498715119e-15,0.01954369330095656,0.08701973992604035,8,30
8,4,hva,0.10662022701518264,-0.04104086022613835,0.2565087049872498,0.11666666666666665,0.23566032025057893,-0.20174065541391067,0.6071275400539138,0.09454949944382647,0.048800927716019765,0.023043632052284335,-0.06766790736946986,0.11492092971506475,0.025757295663735413,-0.01677341830909365,0.08334399438886628,8.881784197001252e-16,0.07390763970508515,0.16724422298998243,8,30
10,4,hva,0.12625935929837506,-0.03228278951517395,0.2714879059859229,0.19761904761904767,0.25489599704318816,-0.16634123448094343,0.5945858727683824,0.13637374860956616,0.06582850034407212,0.038275501034153545,-0.04842035122719955,0.13313968650066393,0.027552999309918724,-0.013817277993696185,0.07780027965447786,-1.2434497875801753e-14,0.10435753468623996,0.1969209534887758,8,30
4,6,hea,-0.009006930209253916,-0.06166863362265505,0.04527151878728456,-0.018685772181212913,-0.018185140894064516,-0.46227961117483884,0.403155444456947,-0.021579532814238044,0.006749446185543228,0.007129149962269263,-0.033217130338531416,0.047991331829631154,-0.00037970377672606845,-0.00839940155853592,0.008765365421388864,6.5052130349130266e-18,0.009612074647359988,-0.01716754702010048,48,30
6,6,hea,0.003667494875235967,-0.02979546842430305,0.03974688959206822,-0.008089480566810303,-0.07906608608856953,-0.3811215578697714,0.2320993023485525,-0.005116796440489433,0.0011786584106519352,0.0024271548498642982,-0.022857458154337762,0.02888053331404407,-0.0012484964392123965,-0.006341485930258074,0.003150847685340789,2.303929616531697e-18,0.0015763298388830889,-0.0023520428757141127,72,30
8,6,hea,-0.006373796528090781,-0.0371210775197883,0.026791262922324536,-0.020741544583107254,-0.06667672216099288,-0.41552466362994706,0.40397586133553637,0.060289210233592884,-0.005231528896066378,-0.0038717731933206614,-0.03024905499657999,0.025600679633685803,-0.0013597557027455601,-0.010466159784828757,0.005832153779266998,-4.065758146820642e-18,-0.006267142530828849,-0.021406095346188835,96,30
10,6,hea,-0.019369955787663023,-0.06103844793599519,0.018588134412158435,-0.04533694469523346,0.34609624675808826,-0.040956273096589585,0.6671781275285021,0.2925472747497219,-0.005329322488775149,-0.01438017000387622,-0.05102396464120761,0.018306547774411895,0.009050847515100595,-0.0008790116675726324,0.021226530802120544,5.149960319306146e-18,-0.004991514615363834,-0.03356419574826613,120,30
4,6,hva,-0.16739264829641337,-0.2538742753772314,-0.07362496992685943,-0.11864801864801865,-0.08339293069505338,-0.44835506947450304,0.3105661939482388,-0.04427141268075639,-0.10436811835063411,-0.09579549440279904,-0.14750350427241596,-0.04414517182830681,-0.008572623947835138,-0.04749401146852383,0.029109207712317103,5.551115123125783e-16,-0.15335522875042593,-0.13345421903975596,12,30
6,6,hva,-0.03894467846844874,-0.1538808758305976,0.07565281322163793,-0.0044289044289044345,0.08851970266476512,-0.27822634367148014,0.5090482722700765,0.14438264738598441,-0.0015594731491808313,-0.014188517743758945,-0.08450251905673908,0.05673252937732941,0.012629044594577891,-0.042581252505161864,0.06779857425823119,2.914335439641036e-15,-0.0019269910604719576,0.021743994938232546,12,30
8,6,hva,0.04360032018006324,-0.08809632997046389,0.16896568180472188,0.03962703962703963,0.13992062392614102,-0.2478242396205535,0.5560574545094578,0.2004449388209121,0.05337681141936972,0.03300303619871101,-0.05239336749244284,0.11947670097928544,0.020373775220659134,-0.037940499973294586,0.07742966188115256,-1.1324274851176597e-14,0.06770066308978236,0.10069779345005235,12,30
10,6,hva,0.09123417464059899,-0.029231211393287597,0.21515483811670563,0.10512820512820513,0.17690499212042526,-0.2135921890939718,0.5719566081566626,0.207119021134594,0.07694736428077499,0.05249401936808026,-0.030135570157188797,0.13869975763381598,0.024453344912694477,-0.029596984176043374,0.0759636075062427,1.199040866595169e-14,0.1012247678757526,0.12918309554857677,12,30
4,8,hea,0.033913517047866985,-0.023974015454142277,0.09620541490901013,0.0114545177045177,-0.15531431699115503,-0.5103359877437271,0.20648540662428402,-0.17730812013348163,0.027749069094129514,0.03048266775012483,-0.005623651547523993,0.06754545987954762,-0.0027335986559955633,-0.009175170995494558,0.0031303465901278862,5.2909066017292616e-17,0.0392861020620868,0.007475728685364768,64,30
6,8,hea,-0.009520940261475434,-0.04919318790155913,0.02837492848574429,-0.01794899620184482,-0.135114356245736,-0.45994714832173916,0.17827017437671303,-0.19733036707452725,-0.004749301259281993,-0.0031101104445090217,-0.028244693752440205,0.021990235574361975,-0.0016391908147731504,-0.005419553749127682,0.0019516410960268794,1.22514845490862e-17,-0.006910411080211908,-0.02132509188831323,96,30
8,8,hea,-0.007942664517350805,-0.04025652421991426,0.026119356995088033,-0.024677066166147836,0.2124599098980345,-0.09127765778725237,0.4482812290706628,0.14527252502780869,0.00047890662804555835,-0.000839278412045542,-0.022047688591183064,0.020116613422095087,0.0013181850400911846,-0.0004191501639501284,0.0031902840124759697,-1.9651164376299768e-18,0.0007040294053340519,-0.026782821140395863,128,30
10,8,hea,0.004765503004016861,-0.02315631223270872,0.03761017142249115,-0.013092601273487247,-0.34322694274356746,-0.6264905531596019,-0.00740674112219898,-0.25383759733036704,0.0024864677856857743,0.0046615458895069625,-0.01529414864638535,0.02861723634721962,-0.002175078103820796,-0.004803948164222862,-3.830088072754405e-05,-3.0357660829594124e-18,0.003561937605108837,-0.017259687706583666,160,30
4,8,hva,0.0032199465576271237,-0.12744178749712137,0.1255859009521552,0.01705882352941176,-0.33927978441095497,-0.5837290211966102,-0.03201832476000037,-0.35973303670745277,-0.007263840907802212,0.02472220938604396,-0.057288607309333876,0.1024420622035435,-0.031986050293846324,-0.06044426385043266,-0.0023056759412983215,1.27675647831893e-15,-0.009458073129895547,-0.002708019566057144,16,30
6,8,hva,-0.051430762851767266,-0.16864299241010508,0.07173553302716675,-0.03313725490196078,0.20218624725114212,-0.15608030665296707,0.5277235338742913,0.19777530589543937,0.03982458030060822,0.009400186351923323,-0.08955539766444727,0.093641249743878,0.030424393948684958,-0.02024709706097104,0.08099798916928819,-9.992007221626409e-16,0.053883846720459386,0.010271745971119664,16,30
8,8,hva,0.026740589745090172,-0.0855442305642936,0.13573072878492412,0.05284313725490195,0.3694240578183672,0.06450555130638548,0.6579485677922485,0.4153503893214683,0.10497873624873583,0.040420753634276656,-0.03850056039230848,0.11330623145720393,0.06455798261445916,0.009169037373999853,0.12950931719737596,0.0,0.14439565472791605,0.1280615367254198,16,30
10,8,hva,0.07236570225639281,-0.04050368165786351,0.18568842508146882,0.10225490196078432,0.3933351201119009,0.06111839490010888,0.6407046042408794,0.47408231368186876,0.11922565028564636,0.054171552593757076,-0.016604456004367604,0.12400590952862463,0.06505409769188958,0.009110110795986092,0.11920471254905554,-1.5987211554602254e-14,0.17026993153454043,0.15325392037291824,16,30
