n_qubits,depth,circuit_variant,param_index,layer_index,qubit_index,gate_type,grad_mean_over_seeds,abs_grad_mean_over_seeds,grad_abs_mean_over_seeds,grad_std_over_seeds,bias_ratio
4,4,hea,0,0,0,ry,0.02339261941812988,0.02339261941812988,0.24897898041071573,0.334696824941399,0.09395419396264425
4,4,hea,1,0,0,rz,-0.033072281973166154,0.033072281973166154,0.2556666402166561,0.3846665781776767,0.1293570484797705
4,4,hea,2,0,1,ry,0.1905180074766477,0.1905180074766477,0.44022806478131776,0.49669575649845876,0.43277115367755264
4,4,hea,3,0,1,rz,0.07622527551757269,0.07622527551757269,0.28864451239547256,0.37168799809608727,0.2640801132333186
4,4,hea,4,0,2,ry,0.07037055315609221,0.07037055315609221,0.34700268956426544,0.42578085768295143,0.20279541131066442
4,4,hea,5,0,2,rz,0.10976628646493349,0.10976628646493349,0.21615589675899635,0.26493948392504557,0.5078107426665173
4,4,hea,6,0,3,ry,-0.11615150675397862,0.11615150675397862,0.34158559562027585,0.3991765913683355,0.34003631371827014
4,4,hea,7,0,3,rz,-0.11067934635151672,0.11067934635151672,0.2588145488239747,0.3403077276723733,0.42763958538819113
4,4,hea,8,1,0,ry,0.06681388759194644,0.06681388759194644,0.3722315232166119,0.5028153848459614,0.1794955113274095
4,4,hea,9,1,0,rz,0.02455991637846465,0.02455991637846465,0.4018873810242185,0.5222532678940343,0.06111143951788962
4,4,hea,10,1,1,ry,0.040024595257083725,0.040024595257083725,0.2767157831406125,0.36381546360171035,0.14464153364445126
4,4,hea,11,1,1,rz,0.026958203640661947,0.026958203640661947,0.32089057718864844,0.3781371508926828,0.08401058041917323
4,4,hea,12,1,2,ry,0.08860015078231137,0.08860015078231137,0.46086357355568003,0.5709597761073802,0.19224810956252936
4,4,hea,13,1,2,rz,0.009824017055736468,0.009824017055736468,0.3419591141645911,0.4350562363924884,0.0287286305549615
4,4,hea,14,1,3,ry,0.08275639647912866,0.08275639647912866,0.3903705351687962,0.5351914975810649,0.21199447454030973
4,4,hea,15,1,3,rz,-0.14872375015788117,0.14872375015788117,0.4247447571576386,0.5004368553338118,0.3501485248532071
4,4,hea,16,2,0,ry,0.19149678503428938,0.19149678503428938,0.3755212901917437,0.4072416729959092,0.5099492093684205
4,4,hea,17,2,0,rz,0.07483268852481052,0.07483268852481052,0.3146675689416811,0.40189265734793855,0.23781506551976256
4,4,hea,18,2,1,ry,0.08362982887051307,0.08362982887051307,0.41104876595027506,0.5041998233264178,0.20345476205767185
4,4,hea,19,2,1,rz,-0.05198974518324969,0.05198974518324969,0.36463808573710016,0.46914497816736683,0.14257903169427438
4,4,hea,20,2,2,ry,-0.01616599095800313,0.01616599095800313,0.3540127667368599,0.5226719500451875,0.04566499425151912
4,4,hea,21,2,2,rz,-0.15436600642522738,0.15436600642522738,0.3664394952138806,0.4646993385379909,0.42125919405911144
4,4,hea,22,2,3,ry,-0.03539044181290458,0.03539044181290458,0.3662140499059817,0.4271308120536189,0.09663867845045891
4,4,hea,23,2,3,rz,0.171695939893887,0.171695939893887,0.38740606932922234,0.468474335148253,0.4431937274270664
4,4,hea,24,3,0,ry,0.03646102087642715,0.03646102087642715,0.22991968879023206,0.2931399779358846,0.15858155109844602
4,4,hea,25,3,0,rz,0.0041593074160705895,0.0041593074160705895,0.2703076401069956,0.33245882483986533,0.015387309860809705
4,4,hea,26,3,1,ry,0.07199796414360732,0.07199796414360732,0.27433300930468446,0.33123346846463375,0.26244732387870773
4,4,hea,27,3,1,rz,-0.005699595762885518,0.005699595762885518,0.3396861141519274,0.4139454093600813,0.016779007222933788
4,4,hea,28,3,2,ry,0.06683241032425777,0.06683241032425777,0.28630414564178874,0.3782236315711318,0.2334315144981356
4,4,hea,29,3,2,rz,0.05076771793116149,0.05076771793116149,0.22285744247213224,0.26538934632905725,0.22780355624654375
4,4,hea,30,3,3,ry,-0.03497338034812693,0.03497338034812693,0.3195508689546802,0.41351303470127304,0.10944542401819243
4,4,hea,31,3,3,rz,0.10472855204135828,0.10472855204135828,0.2517616475107198,0.3225698398630778,0.41598294687398174
4,4,hva,0,0,-1,beta_x,0.2979020381281793,0.2979020381281793,3.054685932593128,3.888588018381336,0.09752296789322942
4,4,hva,1,0,-1,gamma_zz,0.1472677013722445,0.1472677013722445,1.6211181375077226,2.143980163065404,0.09084328770674979
4,4,hva,2,1,-1,beta_x,-0.054600394987225326,0.054600394987225326,2.5900173394058372,3.1371791003184444,0.021081092453130414
