n_qubits,depth,theo_p50,theo_p99,theo_max,other_p01,other_p05,other_min,theo_frac_below_1e-12,other_frac_below_1e-12,theo_frac_below_1e-10,other_frac_below_1e-10,theo_frac_below_1e-09,other_frac_below_1e-09,theo_frac_below_1e-08,other_frac_below_1e-08
4,4,5.551115123125782e-12,2.8366198279172743e-11,3.3306690738754696e-11,0.012296648327358993,0.04711754011649249,0.00028902111363915406,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,6,4.163336342344337e-12,2.2204460492503128e-11,2.2204460492503128e-11,0.007907581541181236,0.03985591396430712,0.00015402834147026923,0.26666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,8,5.551115123125782e-12,2.2204460492503128e-11,2.2204460492503128e-11,0.005863903578033623,0.03827727909855306,0.00023007898503069055,0.13333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,4,5.0306980803327406e-12,4.723998969780035e-11,4.996003610813204e-11,0.01247943954832409,0.05214872774411682,0.0005848485494508449,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,6,5.551115123125782e-12,3.3306690738754696e-11,3.885780586188048e-11,0.011136758933230627,0.04292315068349372,0.000798388946621209,0.13333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,8,5.551115123125782e-12,2.2204460492503128e-11,2.775557561562891e-11,0.0045531271051155175,0.03368563003362801,0.0001372974324509446,0.11333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,4,6.9388939039072276e-12,3.3306690738754696e-11,3.885780586188048e-11,0.013190381317598752,0.05046500955278867,0.0005848485432058403,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,6,5.551115123125782e-12,4.3409720262843575e-11,5.551115123125782e-11,0.008687540194535215,0.0405169518424061,0.0017857049200431516,0.16666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,8,5.551115123125782e-12,3.2807090377673356e-11,3.885780586188048e-11,0.006241415594715471,0.03581079244151936,5.1685542651336285e-05,0.12380952380952381,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10,4,5.551115123125782e-12,7.216449660063518e-11,7.216449660063518e-11,0.013290935611108555,0.05151682531935598,0.000584848551532513,0.13703703703703704,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10,6,6.245004513516505e-12,7.388534228880418e-11,8.326672684688673e-11,0.00889222980986551,0.04222926477212564,4.6790571764376836e-05,0.1259259259259259,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10,8,5.551115123125782e-12,3.50275364269237e-11,4.4408920985006255e-11,0.005130322217376804,0.03613072022349423,5.167744045186939e-05,0.11481481481481481,0.0,1.0,0.0,1.0,0.0,1.0,0.0
