depth,variant,quantity,slope,slope_ci_low,slope_ci_high,factor_per_qubit,r2
4,hea,M2,-0.3059006247059004,-0.3422786001930157,-0.26831483223689334,0.7364598017291742,0.9455401434073429
4,hea,F,-0.0007612585704371616,-0.013868887252904428,0.014271545105889126,0.9992390311133557,0.011581022575410493
4,hva,M2,0.39221471735118374,0.34076008057120677,0.4496380562310123,1.4802555138252238,0.990343310667574
4,hva,F,0.016415715931149575,-0.00948263034613681,0.045224769400733035,1.0165511941044298,0.9540319836839093
6,hea,M2,-0.4897089640723708,-0.5151226293574187,-0.4640345801395232,0.612804716423168,0.9979949069495389
6,hea,F,-0.002131712974676276,-0.010945016353538586,0.006540737390581447,0.9978705575117985,0.9007111824754163
6,hva,M2,0.3314716429388302,0.28523128424840033,0.3774681639385751,1.3930166438600695,0.9974245951063764
6,hva,F,0.03033153344384989,0.011959336624189312,0.04901607102531583,1.0307962207310566,0.9063988192452592
8,hea,M2,-0.5525507622813061,-0.571287923222059,-0.5309918758448874,0.5754800239008351,0.9997516555099305
8,hea,F,-0.0034711785570430017,-0.009754365878530845,0.0033179462425290936,0.9965348390185378,0.3920029992477464
8,hva,M2,0.33285660844748327,0.2776242008811871,0.3853993347960169,1.3949472604749085,0.9979576184475066
8,hva,F,0.021027815307520542,-0.0007433797884122216,0.04218673159345581,1.0212504576380006,0.9489496848386753
