n_qubits,depth,circuit_variant,mean_Q,bootstrap_sd_Q,ci_low_Q,ci_high_Q,n_params,n_unique_seeds
4,4,hea,0.18407868548661713,0.004625373382738452,0.1750630777750734,0.19329687879870347,32,30
6,4,hea,0.070984645263672,0.00244230283851276,0.06626234329847629,0.07577358907643894,48,30
8,4,hea,0.038188370949370484,0.002311652508665298,0.03429431330139455,0.043277354070646826,64,30
10,4,hea,0.031650195102947774,0.002291382721506216,0.02724101636031692,0.03628171979162043,80,30
4,4,hva,4.934218026920336,0.2426768271476984,4.465032841178315,5.428647653830695,8,30
6,4,hva,7.756240151492906,0.37448542275547286,7.033937301368029,8.499954437642412,8,30
8,4,hva,10.844130910634295,0.5313055453391647,9.83079291083641,11.916209962917037,8,30
10,4,hva,13.950377773920948,0.6919166674922552,12.607535861952202,15.286642110885655,8,30
4,6,hea,0.1904706457806603,0.0030646846324918126,0.18437827216069494,0.1962541908023633,48,30
6,6,hea,0.06877769927447273,0.001002171965895442,0.06684677472795915,0.0707663627916801,72,30
8,6,hea,0.024571543220096456,0.0006347085345923393,0.02337832076624133,0.025854733477500624,96,30
10,6,hea,0.010828357845802501,0.0004835347414186223,0.009956164280171934,0.011839073564765162,120,30
4,6,hva,4.742964691623343,0.20882569240528695,4.324002716316717,5.146106723392978,12,30
6,6,hva,6.57952212217761,0.3006170354160259,6.00626435894543,7.170807010671468,12,30
8,6,hva,8.958551332764054,0.43002880616112626,8.129781694319531,9.797721709422628,12,30
10,6,hva,11.386873202856352,0.5940916578895029,10.245764234710851,12.555614505345325,12,30
4,8,hea,0.19370645983518264,0.002353774666421442,0.1889392072596581,0.1983541991697563,64,30
6,8,hea,0.07152021384321594,0.0010065770315953108,0.06949326358126835,0.07343844858072537,96,30
8,8,hea,0.023718798222111866,0.00019583193571369608,0.02333130713863581,0.02411223770115738,128,30
10,8,hea,0.007740650060526666,8.840205888849758e-05,0.007570960773323419,0.007918393090303675,160,30
4,8,hva,4.682978047109794,0.22533927033027806,4.253056113896075,5.128176818798478,16,30
6,8,hva,6.689230754446232,0.4044985400240244,5.908592219029476,7.490463384419335,16,30
8,8,hva,9.203007078573101,0.6069427741985841,8.021325064238786,10.382140696234732,16,30
10,8,hva,11.878622187585345,0.7852356226763689,10.355099350953124,13.405981880898612,16,30
