n_qubits,depth,circuit_variant,zero_fraction_ZZ_terms,zero_fraction_X_terms
4,4,hea,0.2291666666666667,0.125
6,4,hea,0.2916666666666667,0.2291666666666667
8,4,hea,0.3348214285714286,0.2890625
10,4,hea,0.3638888888888889,0.32750000000000007
4,4,hva,0.0125,0.0
6,4,hva,0.022500000000000006,0.0
8,4,hva,0.012499999999999999,0.0
10,4,hva,0.017129629629629627,0.0
4,6,hea,0.15277777777777776,0.08333333333333336
6,6,hea,0.1944444444444445,0.15277777777777776
8,6,hea,0.2232142857142857,0.1927083333333333
10,6,hea,0.24259259259259264,0.2183333333333334
4,6,hva,0.022222222222222223,0.0
6,6,hva,0.011111111111111112,0.0
8,6,hva,0.013888888888888888,0.0
10,6,hva,0.010493827160493826,0.0
4,8,hea,0.11458333333333336,0.0625
6,8,hea,0.14583333333333334,0.11458333333333336
8,8,hea,0.1674107142857143,0.14453125
10,8,hea,0.18194444444444444,0.16375000000000003
4,8,hva,0.008333333333333333,0.0
6,8,hva,0.007083333333333334,0.0
8,8,hva,0.007738095238095237,0.0
10,8,hva,0.007175925925925927,0.0
